"SA_ID","BSEG_ID","FT_ID","FT_CREATED_DATE","FREEZE_DTTM","MATCH_EVT_ID","MEVT_STATUS_FLG","MATCH_EVENT_CREATE_DT","REF_WO_REQ_ID","REFUND_REQUEST_CREATED_DATE",
"2624090090","262483344430","262483411241",2026-07-15 04:07:12,2026-07-15 04:10:26,"262217150742","B ",2026-07-15 00:00:00,"312757984011",2026-07-15 04:13:53,
"2624090090","262483975685","262483328104",2026-07-15 04:07:14,2026-07-15 04:10:27,"262217292872","B ",2026-07-15 00:00:00,"312757984011",2026-07-15 04:13:53,
"2624090090","262483890593","262483324856",2026-07-15 04:07:14,2026-07-15 04:10:27,"262217400783","B ",2026-07-15 00:00:00,"312757984011",2026-07-15 04:13:53,
"2624090090","262483769930","262483339838",2026-07-15 04:07:12,2026-07-15 04:10:27,"262217767747","B ",2026-07-15 00:00:00,"312757984011",2026-07-15 04:13:53,
"2624090090","262483120233","262483894092",2026-07-15 04:07:13,2026-07-15 04:10:27,"262217358602","B ",2026-07-15 00:00:00,"312757984011",2026-07-15 04:13:53,
"2624090090","262483086756","262483389737",2026-07-15 04:07:13,2026-07-15 04:10:27,"262217695793","B ",2026-07-15 00:00:00,"312757984011",2026-07-15 04:13:53,
"2624090090","262483251511","262483296070",2026-07-15 04:07:14,2026-07-15 04:10:27,"262217215626","B ",2026-07-15 00:00:00,"312757984011",2026-07-15 04:13:53,
"2624090090","262483056980","262483492782",2026-07-15 04:07:12,2026-07-15 04:10:27,"262217743483","B ",2026-07-15 00:00:00,"312757984011",2026-07-15 04:13:53,
"2624090090","262483149810","262483533934",2026-07-15 04:07:14,2026-07-15 04:10:27,"262217483579","B ",2026-07-15 00:00:00,"312757984011",2026-07-15 04:13:53,
"2624090090","262483461960","262483738023",2026-07-15 04:07:13,2026-07-15 04:10:27,"262217398907","B ",2026-07-15 00:00:00,"312757984011",2026-07-15 04:13:53,
"2624090090","262483260612","262483145851",2026-07-15 04:07:13,2026-07-15 04:10:27,"262217916634","B ",2026-07-15 00:00:00,"312757984011",2026-07-15 04:13:53,
"2624090090","262483807266","262483223035",2026-07-15 04:07:13,2026-07-15 04:10:27,"262217478267","B ",2026-07-15 00:00:00,"312757984011",2026-07-15 04:13:53,
"2624090090","262483659733","262483845576",2026-07-15 04:07:14,2026-07-15 04:10:27,"262217015545","B ",2026-07-15 00:00:00,"312757984011",2026-07-15 04:13:53,
"2624090090","262483511905","262483802459",2026-07-15 04:07:14,2026-07-15 04:10:27,"262217729505","B ",2026-07-15 00:00:00,"312757984011",2026-07-15 04:13:53,
"2624090090","262483662264","262483259641",2026-07-15 04:07:12,2026-07-15 04:10:27,"262217733052","B ",2026-07-15 00:00:00,"312757984011",2026-07-15 04:13:53,
"2624090090","262483794373","262483940321",2026-07-15 04:07:12,2026-07-15 04:10:27,"262217814229","B ",2026-07-15 00:00:00,"312757984011",2026-07-15 04:13:53,
"2624090090","262483619331","262483459316",2026-07-15 04:07:13,2026-07-15 04:10:27,"262217626198","B ",2026-07-15 00:00:00,"312757984011",2026-07-15 04:13:53,
"2624090090","262169393256","262169135447",2026-07-14 03:58:13,2026-07-14 04:01:46,"262217181501","B ",2026-07-15 00:00:00,"312757984011",2026-07-15 04:13:53,
"2624090090","262483144393","262483150105",2026-07-15 04:07:13,2026-07-15 04:10:27,"262217974837","B ",2026-07-15 00:00:00,"312757984011",2026-07-15 04:13:53,
"2624090090","262483906452","262483738583",2026-07-15 04:07:13,2026-07-15 04:10:27,"262217507114","B ",2026-07-15 00:00:00,"312757984011",2026-07-15 04:13:53,
"2624090090","262483632723","262483129679",2026-07-15 04:07:13,2026-07-15 04:10:27,"262217409299","B ",2026-07-15 00:00:00,"312757984011",2026-07-15 04:13:53,
"2624090090","262483136081","262483185307",2026-07-15 04:07:14,2026-07-15 04:10:27,"262217140980","B ",2026-07-15 00:00:00,"312757984011",2026-07-15 04:13:53,
"2624090090","262483230063","262483610992",2026-07-15 04:07:14,2026-07-15 04:10:27,"262217917934","B ",2026-07-15 00:00:00,"312757984011",2026-07-15 04:13:53,
"2624090090","262169547163","262169318390",2026-07-14 03:58:12,2026-07-14 04:01:46,"262217669504","B ",2026-07-15 00:00:00,"312757984011",2026-07-15 04:13:53,
"2624090090","262483803080","262483926333",2026-07-15 04:07:12,2026-07-15 04:10:27,"262217588947","B ",2026-07-15 00:00:00,"312757984011",2026-07-15 04:13:53,
"2624090090","262483323587","262483526718",2026-07-15 04:07:13,2026-07-15 04:10:27,"262217103180","B ",2026-07-15 00:00:00,"312757984011",2026-07-15 04:13:53,
"2624090090","262483691088","262483076776",2026-07-15 04:07:13,2026-07-15 04:10:27,"262217767343","B ",2026-07-15 00:00:00,"312757984011",2026-07-15 04:13:53,
"2624090090","262483253693","262483697421",2026-07-15 04:07:14,2026-07-15 04:10:27,"262217139081","B ",2026-07-15 00:00:00,"312757984011",2026-07-15 04:13:53,
"2624090090","262483747423","262483764768",2026-07-15 04:07:14,2026-07-15 04:10:27,"262217055569","B ",2026-07-15 00:00:00,"312757984011",2026-07-15 04:13:53,
"2624090090","262483243697","262483123774",2026-07-15 04:07:12,2026-07-15 04:10:27,"262217844937","B ",2026-07-15 00:00:00,"312757984011",2026-07-15 04:13:53,
"2624090090","262483178518","262483562426",2026-07-15 04:07:12,2026-07-15 04:10:27,"262217628760","B ",2026-07-15 00:00:00,"312757984011",2026-07-15 04:13:53,
"2624090090","262881778389","262881900916",2026-07-16 04:17:21,2026-07-16 04:23:49,"262380555592","B ",2026-07-16 00:00:00,"752385517492",2026-07-16 04:29:05,
"2624090090","262881077015","262881996912",2026-07-16 04:17:22,2026-07-16 04:23:49,"262380782189","B ",2026-07-16 00:00:00,"752385517492",2026-07-16 04:29:05,
"2624090090","262881624761","262881530043",2026-07-16 04:17:29,2026-07-16 04:23:50,"262380144330","B ",2026-07-16 00:00:00,"752385517492",2026-07-16 04:29:05,
"2624090090","262881050806","262881724299",2026-07-16 04:17:31,2026-07-16 04:23:50,"262380315449","B ",2026-07-16 00:00:00,"752385517492",2026-07-16 04:29:05,
"2624090090","262881685258","262881867354",2026-07-16 04:17:33,2026-07-16 04:23:50,"262380010289","B ",2026-07-16 00:00:00,"752385517492",2026-07-16 04:29:05,
"2624090090","262881531988","262881527938",2026-07-16 04:17:21,2026-07-16 04:23:49,"262380689059","B ",2026-07-16 00:00:00,"752385517492",2026-07-16 04:29:05,
"2624090090","262881860059","262881012557",2026-07-16 04:17:28,2026-07-16 04:23:50,"262380713845","B ",2026-07-16 00:00:00,"752385517492",2026-07-16 04:29:05,
"2624090090","262881507170","262881304843",2026-07-16 04:17:32,2026-07-16 04:23:50,"262380558119","B ",2026-07-16 00:00:00,"752385517492",2026-07-16 04:29:05,
"2624090090","262881928372","262881625072",2026-07-16 04:17:22,2026-07-16 04:23:49,"262380494659","B ",2026-07-16 00:00:00,"752385517492",2026-07-16 04:29:05,
"2624090090","262881122132","262881931690",2026-07-16 04:17:24,2026-07-16 04:23:49,"262380695411","B ",2026-07-16 00:00:00,"752385517492",2026-07-16 04:29:05,
"2624090090","262881112438","262881090957",2026-07-16 04:17:25,2026-07-16 04:23:49,"262380050706","B ",2026-07-16 00:00:00,"752385517492",2026-07-16 04:29:05,
"2624090090","262881763601","262881912011",2026-07-16 04:17:31,2026-07-16 04:23:50,"262380350505","B ",2026-07-16 00:00:00,"752385517492",2026-07-16 04:29:05,
"2624090090","262881337881","262881406097",2026-07-16 04:17:22,2026-07-16 04:23:49,"262380136043","B ",2026-07-16 00:00:00,"752385517492",2026-07-16 04:29:05,
"2624090090","262881371606","262881779483",2026-07-16 04:17:34,2026-07-16 04:23:50,"262380331022","B ",2026-07-16 00:00:00,"752385517492",2026-07-16 04:29:05,
"2624090090","262881927703","262881990816",2026-07-16 04:17:16,2026-07-16 04:23:49,"262380231352","B ",2026-07-16 00:00:00,"752385517492",2026-07-16 04:29:05,
"2624090090","262881889101","262881967225",2026-07-16 04:17:18,2026-07-16 04:23:49,"262380963909","B ",2026-07-16 00:00:00,"752385517492",2026-07-16 04:29:05,
"2624090090","262881706170","262881629820",2026-07-16 04:17:24,2026-07-16 04:23:49,"262380909474","B ",2026-07-16 00:00:00,"752385517492",2026-07-16 04:29:05,
"2624090090","262881487070","262881281805",2026-07-16 04:17:24,2026-07-16 04:23:49,"262380193681","B ",2026-07-16 00:00:00,"752385517492",2026-07-16 04:29:05,
"2624090090","262881982161","262881787254",2026-07-16 04:17:34,2026-07-16 04:23:50,"262380743434","B ",2026-07-16 00:00:00,"752385517492",2026-07-16 04:29:05,
